Topic,scopus_id,year
4,2-s2.0-85100701136,2020
-1,2-s2.0-85085984764,2020
0,2-s2.0-85085572152,2020
30,2-s2.0-85083555184,2020
-1,2-s2.0-85083499312,2020
-1,2-s2.0-85082563398,2020
-1,2-s2.0-85080036567,2020
58,2-s2.0-85079646851,2020
32,2-s2.0-85064007842,2020
3,2-s2.0-85049580454,2020
24,2-s2.0-85079178558,2020
4,2-s2.0-85102734630,2020
30,2-s2.0-85076130627,2020
39,2-s2.0-85086158404,2020
4,2-s2.0-85082649682,2020
1,2-s2.0-85081077222,2020
-1,2-s2.0-85079176520,2020
-1,2-s2.0-85077387416,2020
-1,2-s2.0-85075600387,2020
34,2-s2.0-85100445684,2020
8,2-s2.0-85025147217,2020
-1,2-s2.0-85084950864,2020
-1,2-s2.0-85084157038,2020
-1,2-s2.0-85081342094,2020
-1,2-s2.0-85081329142,2020
-1,2-s2.0-85081022735,2020
-1,2-s2.0-85078676318,2020
9,2-s2.0-85077166407,2020
-1,2-s2.0-85076622080,2020
39,2-s2.0-85075915245,2020
-1,2-s2.0-85075216788,2020
-1,2-s2.0-85070811889,2020
32,2-s2.0-85067828138,2020
-1,2-s2.0-85064815707,2020
1,2-s2.0-85079506032,2020
45,2-s2.0-85076922980,2020
-1,2-s2.0-85075201899,2020
38,2-s2.0-85074371489,2020
12,2-s2.0-85077058898,2020
1,2-s2.0-85077941386,2020
3,2-s2.0-85073940201,2020
0,2-s2.0-85077561449,2020
11,2-s2.0-85075935056,2020
-1,2-s2.0-85059696541,2020
-1,2-s2.0-85131314336,2020
12,2-s2.0-85115951098,2020
-1,2-s2.0-85113778638,2020
43,2-s2.0-85109533386,2020
16,2-s2.0-85108148390,2020
-1,2-s2.0-85107825294,2020
-1,2-s2.0-85106068365,2020
-1,2-s2.0-85105485296,2020
19,2-s2.0-85104368305,2020
-1,2-s2.0-85103495136,2020
8,2-s2.0-85102974639,2020
5,2-s2.0-85102033622,2020
4,2-s2.0-85101258985,2020
-1,2-s2.0-85100201730,2020
-1,2-s2.0-85099420855,2020
31,2-s2.0-85099412647,2020
4,2-s2.0-85098559248,2020
17,2-s2.0-85098498102,2020
38,2-s2.0-85098241149,2020
3,2-s2.0-85098180435,2020
-1,2-s2.0-85097942163,2020
39,2-s2.0-85097796456,2020
32,2-s2.0-85096401760,2020
6,2-s2.0-85095779316,2020
39,2-s2.0-85095584694,2020
3,2-s2.0-85094185761,2020
48,2-s2.0-85094160025,2020
-1,2-s2.0-85092665419,2020
-1,2-s2.0-85092408209,2020
-1,2-s2.0-85092147837,2020
0,2-s2.0-85091559341,2020
-1,2-s2.0-85091414466,2020
5,2-s2.0-85091079916,2020
-1,2-s2.0-85091075454,2020
-1,2-s2.0-85090831024,2020
27,2-s2.0-85090674977,2020
1,2-s2.0-85090635205,2020
5,2-s2.0-85090608964,2020
-1,2-s2.0-85090564282,2020
-1,2-s2.0-85089717219,2020
26,2-s2.0-85089587856,2020
-1,2-s2.0-85088677804,2020
-1,2-s2.0-85088406679,2020
21,2-s2.0-85088351324,2020
11,2-s2.0-85088300238,2020
42,2-s2.0-85088254714,2020
0,2-s2.0-85088166067,2020
47,2-s2.0-85087993620,2020
56,2-s2.0-85087741835,2020
10,2-s2.0-85087472779,2020
54,2-s2.0-85087371326,2020
0,2-s2.0-85086223638,2020
0,2-s2.0-85085364322,2020
35,2-s2.0-85085040623,2020
0,2-s2.0-85084977038,2020
-1,2-s2.0-85084675118,2020
-1,2-s2.0-85083801415,2020
8,2-s2.0-85083770447,2020
-1,2-s2.0-85083766740,2020
-1,2-s2.0-85083764639,2020
0,2-s2.0-85083720988,2020
-1,2-s2.0-85083701330,2020
20,2-s2.0-85083069545,2020
15,2-s2.0-85083049740,2020
-1,2-s2.0-85083043975,2020
30,2-s2.0-85082709478,2020
8,2-s2.0-85082413277,2020
22,2-s2.0-85081972059,2020
5,2-s2.0-85081935568,2020
2,2-s2.0-85080914138,2020
0,2-s2.0-85079879087,2020
0,2-s2.0-85079161702,2020
0,2-s2.0-85078856976,2020
0,2-s2.0-85078817787,2020
-1,2-s2.0-85078732809,2020
11,2-s2.0-85076476673,2020
54,2-s2.0-85075537985,2020
36,2-s2.0-85074334014,2020
2,2-s2.0-85069678429,2020
44,2-s2.0-85069186647,2020
16,2-s2.0-85068210113,2020
3,2-s2.0-85062341846,2020
42,2-s2.0-85053837112,2020
55,2-s2.0-85021250149,2019
24,2-s2.0-85086004081,2019
5,2-s2.0-85083847670,2019
22,2-s2.0-85076758045,2019
-1,2-s2.0-85076739659,2019
53,2-s2.0-85076712835,2019
-1,2-s2.0-85074847305,2019
-1,2-s2.0-85073921515,2019
-1,2-s2.0-85070525410,2019
17,2-s2.0-85069663675,2019
20,2-s2.0-85061605460,2019
8,2-s2.0-85063408118,2019
1,2-s2.0-85075113876,2019
55,2-s2.0-85067837341,2019
5,2-s2.0-85067045581,2019
-1,2-s2.0-85071659665,2019
40,2-s2.0-85074374032,2019
-1,2-s2.0-85084794620,2019
24,2-s2.0-85084326637,2019
4,2-s2.0-85078088704,2019
-1,2-s2.0-85075166162,2019
